"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"Arxius de Miscel-Lania Zoologica","Zoology","Museu de Ciencies Naturals de Barcelona","Non-profit","OA diamond","Museu de Ciencies Naturals de Barcelona","University/Government","Spain","https://museucienciesjournals.cat/en/amz/info/que-es","0","0.146","Q4 (Animal Science and Zoology)","7","No","1698-0476",""
"Austral Ecology","Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","Ecological Society of Australia","Society/Association","USA","https://onlinelibrary.wiley.com/journal/14429993","2583","0.666","Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)","101","No","","1442-9985"
"Australian Journal of Zoology","Zoology","CSIRO publishing","Non-profit","Hybrid","Commonwealth Scientific and Industrial Research Organisation","University/Government","Australia","https://www.publish.csiro.au/zo","","0.374","Q2 (Animal Science and Zoology)","52","No","","0004-959X"
"Australian Systematic Botany","Genetics","CSIRO publishing","Non-profit","Hybrid","Commonwealth Scientific and Industrial Research Organisation","University/Government","Australia","https://www.publish.csiro.au/SB","","0.541","Q2 (Ecology, Evolution, Behavior and Systematics; Plant Science)","46","No","1446-5701","1030-1887"
"Avocetta","Zoology","Centro Italiano Studi Ornitologici","Non-profit","OA diamond","Centro Italiano Studi Ornitologici","Non-profit","Italy","https://www.avocetta.org/","0","0.209","Q4 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)","10","No","2420-9589","0404-4266"
"Bangladesh Journal of Zoology","Zoology","Bangladesh Journals Online","Non-profit","OA diamond","Zoological Society of Bangladesh","Society/Association","Bangladesh","https://www.banglajol.info/index.php/BJZ","0","","","","No","",""
"Basic and Applied Ecology","Genetics","Elsevier","For-profit associated with a society","OA","Ecological Society of Germany / Austria and Switzerland","Society/Association","Germany","https://www.journals.elsevier.com/basic-and-applied-ecology","1391","1.143","Q1 (Ecology, Evolution, Behavior and Systematics)","101","No","1618-0089","1439-1791"
"Bee World","Zoology","Taylor & Francis Group","For-profit associated with a society","Hybrid","International Bee Research Association","Non-profit","UK","https://www.tandfonline.com/journals/tbee20","","","","","No","",""
"Behavior Genetics","Genetics","Springer Nature","For-profit associated with a society","Hybrid","Behavior Genetics Association","Society/Association","Germany / UK","https://www.springer.com/journal/10519","2282","0.702","Q1 (Ecology, Evolution, Behavior and Systematics)","106","No","1573-3297","0001-8244"
"Behavioral Ecology","Genetics","Oxford University Press (OUP)","University Press associated with a society","Hybrid","International Society for Behavioral Ecology","Society/Association","UK","https://academic.oup.com/beheco","3940","0.925","Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)","136","No","1465-7279","1045-2249"
"Belgian Journal of Zoology","Zoology","Royal Belgian Zoological Society","Non-profit","OA diamond","Royal Belgian Zoological Society","Society/Association","Belgium","https://www.belgianjournalofzoology.eu/BJZ","0","0.324","Q3 (Animal Science and Zoology)","35","PCI friendly","","0777-6276"
"Biodiversity Information Science and Standards","Theory","Pensoft","For-profit associated with a society","OA","Biodiversity Information Standards","Society/Association","Bulgaria","https://biss.pensoft.net/","","","","","No","",""
"Biogeographia","Applied Ecology","eScholarship","Non-profit","OA diamond","Italian Biogeography Society","Society/Association","USA","https://escholarship.org/uc/biogeographia","0","0.387","Q2 (Ecology)","11","No","2475-5257","1594-7629"
"Bioinformatics","Theory","Oxford University Press (OUP)","University Press associated with a society","OA","International Society for Computational Biology","Society/Association","UK","https://academic.oup.com/bioinformatics","3412","2.451","Q1 (Biochemistry; Computational Mathematics; Computational Theory and Mathematics; Computer Science Applications; Molecular Biology; Statistics and Probability)","486","No","1367-4811","1367-4803"
"Bioinformatics Advances","Theory","Oxford University Press (OUP)","University Press associated with a society","OA","International Society for Computational Biology","Society/Association","UK","https://academic.oup.com/bioinformaticsadvances","2225","1.41","Q1 (Computer Science Applications; Genetics; Structural Biology)","17","No","2635-0041",""
"Biological Journal of the Linnean Society","Genetics","Oxford University Press (OUP)","University Press associated with a society","Hybrid","Linnean Society","Society/Association","UK","https://academic.oup.com/biolinnean","4675","0.64","Q2 (Ecology, Evolution, Behavior and Systematics)","129","No","1095-8312","0024-4066"
"Biometrics","Theory","John Wiley & Sons","For-profit associated with a society","Hybrid","International Biometric Society","Society/Association","USA","https://onlinelibrary.wiley.com/journal/15410420","2372","1.257","Q1 (Agricultural and Biological Sciences; Applied Mathematics; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Statistics and Probability)","154","No","1541-0420","0006-341X"
"Biosystema","Genetics","Editions Materiologiques","For-profit associated with a society","Subscription","Societe Francaise de Systematique","Society/Association","France","https://stm.cairn.info/revue-biosystema?lang=fr","","","","","No","",""
"Biota Neotropica","Genetics","Scielo","Non-profit","OA","Program BIOTA/FAPESP: The Virtual Institute of Biodiversity","","Brazil","https://www.biotaneotropica.org.br/","425","0.364","Q3 (Ecology, Evolution, Behavior and Systematics)","45","No","1676-0611","1678-6424"
"Biotechnologie, Agronomie, Société et Environnement/Biotechnology, Agronomy, Society and Environment (BASE)","Generalist","Université de Liège","University Press","OA diamond","Université de Liège","University/Government","Belgium","https://popups.uliege.be/1780-4507/","0","0.21","Q3 (Agronomy and Crop Science; Forestry; Geography, Planning and Development)","49","No","1780-4507","1370-6233"
"Biotropica","Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","Association for Tropical Biology & Conservation","Society/Association","USA","https://onlinelibrary.wiley.com/journal/17447429","1969","0.722","Q1 (Ecology, Evolution, Behavior and Systematics)","113","No","1744-7429","0006-3606"
"Bird Conservation International","Applied Ecology","Cambridge University Press (CUP)","University Press","Hybrid","Bird Life International","Non-profit","UK","https://www.cambridge.org/core/journals/bird-conservation-international","406","0.505","Q2 (Animal Science and Zoology; Ecology; Nature and Landscape Conservation)","53","No","1474-0001","0959-2709"
"Bird Study","Zoology","Taylor & Francis Group","For-profit associated with a society","Subscription","British Trust for Ornithology","Non-profit","UK","https://www.tandfonline.com/toc/tbis20/current","1372","0.29","Q3 (Ecology, Evolution, Behavior and Systematics; Nature and Landscape Conservation)","58","No","1944-6705","0006-3657"
"Boletim da Sociedade Brasileira de Mastozoologia","Zoology","Sociedade Brasileira de Mastozoologia","Non-profit","OA","Sociedade Brasileira de Mastozoologia","Society/Association","Brazil","https://www.sbmz.org/","","","","","No","",""
"Botanica Serbica","Genetics","University of Belgrade","Non-profit","OA diamond","University of Belgrade","University/Government","Serbia","https://botanicaserbica.bio.bg.ac.rs/","0","0.249","Q3 (Plant Science)","15","No","1821-2638","1821-2158"
"Botanical Journal of the Linnean Society","Genetics","Oxford University Press (OUP)","University Press associated with a society","Hybrid","Linnean Society","Society/Association","UK","https://academic.oup.com/botlinnean","3035","0.767","Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)","84","No","1095-8339","0024-4074"
"Botanical Review","Genetics","Springer Nature","For-profit associated with a society","Hybrid","The New York Botanical Garden","University/Government","Germany / UK","https://www.springer.com/journal/12229","2624","1.076","Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)","81","No","1874-9372","0006-8101"
"Botany","Genetics","Canadian Science Publishing","Non-profit","Hybrid","Canadian Botanical Association / Canadian Society of Plant Biologists / Canadian Society of Ecology and Evolution","Society/Association","Canada","https://cdnsciencepub.com/journal/cjb","2537","0.338","Q3 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)","100","No","1916-2804","1916-2790"
"Botany Letters","Genetics","Taylor & Francis Group","For-profit associated with a society","Hybrid","Societe Botanique de France","Society/Association","UK","https://www.tandfonline.com/toc/tabg21","1119","0.406","Q2 (Plant Science)","29","PCI friendly","2381-8115","2381-8107"
