Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Ecology & Evolution,Genetics,Archives of Sexual Behavior,https://www.springer.com/journal/10508,For-profit Society-Run,Springer Nature,International Academy of Sex Research,Society/Association,Germany / UK,Hybrid,2196,,Yes,No,No,1.006,Q1 (Arts and Humanities; Psychology),148,No,1573-2800,0004-0002,0004-0002
Ecology & Evolution,Zoology,Ardea,https://ardea.nou.nu/,Non-profit,Netherland Ornithologist Union,Netherland Ornithologist Union,Society/Association,Netherlands,Hybrid,,,Yes,No,No,0.38,Q2 (Animal Science and Zoology),55,No,,0373-2266,0373-2266
Ecology & Evolution,Zoology,Ardeola,https://www.ardeola.org/en/,Non-profit,SEO/BirdLife,SEO/BirdLife,Non-profit,Spain,Subscription,,,Yes,No,No,0.34,"Q3 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",34,No,2341-0825,0570-7358,0570-7358
Ecology & Evolution,Zoology,Arthropod Systematics and Phylogeny,https://arthropod-systematics.arphahub.com/,Non-profit,Senckenberg,Senckenberg Gesellschaft fur Naturforschung Dresden,University/Government,Germany,OA diamond,0,,Yes,Yes,No,0.738,Q1 (Insect Science),31,No,1864-8312,1863-7221,1863-7221
Ecology & Evolution,Generalist,Arthropod-Plant Interactions,https://link.springer.com/journal/11829,For-profit,Springer Nature,,,Germany / UK,Hybrid,2413,,Yes,No,No,0.456,"Q2 (Agronomy and Crop Science; Ecology; Ecology, Evolution, Behavior and Systematics; Insect Science)",49,No,1872-8847,1872-8855,1872-8847
Ecology & Evolution,Zoology,Arxius de Miscel-Lania Zoologica,https://museucienciesjournals.cat/en/amz/info/que-es,Non-profit,Museu de Ciencies Naturals de Barcelona,Museu de Ciencies Naturals de Barcelona,University/Government,Spain,OA diamond,0,,Yes,Yes,No,0.168,Q4 (Animal Science and Zoology),9,No,1698-0476,,1698-0476
Ecology & Evolution,Genetics,Austral Ecology,https://onlinelibrary.wiley.com/journal/14429993,For-profit Society-Run,John Wiley & Sons,Ecological Society of Australia,Society/Association,USA,Hybrid,2583,,Yes,No,No,0.602,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)",104,No,1442-9993,1442-9985,1442-9985
Ecology & Evolution,Zoology,Australian Journal of Zoology,https://www.publish.csiro.au/zo,Non-profit,CSIRO publishing,Commonwealth Scientific and Industrial Research Organisation,University/Government,Australia,Hybrid,,,Yes,No,No,0.324,"Q3 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",53,No,1446-5698,0004-959X,0004-959X
Ecology & Evolution,Genetics,Australian Systematic Botany,https://www.publish.csiro.au/SB,Non-profit,CSIRO publishing,Commonwealth Scientific and Industrial Research Organisation,University/Government,Australia,Hybrid,,,Yes,No,No,0.663,"Q2 (Ecology, Evolution, Behavior and Systematics; Plant Science)",47,No,1446-5701,1030-1887,1030-1887
Ecology & Evolution,Zoology,Avocetta,https://www.avocetta.org/,Non-profit,Centro Italiano Studi Ornitologici,Centro Italiano Studi Ornitologici,Non-profit,Italy,OA diamond,0,,Yes,Yes,No,0.171,"Q4 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",11,No,2420-9589,0404-4266,0404-4266
Ecology & Evolution,Zoology,Bangladesh Journal of Zoology,https://www.banglajol.info/index.php/BJZ,Non-profit,Bangladesh Journals Online,Zoological Society of Bangladesh,Society/Association,Bangladesh,OA diamond,0,,No,No,No,,,,No,,,
Ecology & Evolution,Genetics,Basic and Applied Ecology,https://www.journals.elsevier.com/basic-and-applied-ecology,For-profit Society-Run,Elsevier,Ecological Society of Germany / Austria and Switzerland,Society/Association,Germany,OA,1357,,Yes,Yes,Yes,1.225,"Q1 (Ecology, Evolution, Behavior and Systematics)",105,No,1618-0089,1439-1791,1439-1791
Ecology & Evolution,Zoology,Bee World,https://www.tandfonline.com/journals/tbee20,For-profit Society-run,Taylor & Francis Group,International Bee Research Association,Non-profit,UK,Hybrid,,,No,No,No,,,,No,,,
Ecology & Evolution,Genetics,Behavior Genetics,https://www.springer.com/journal/10519,For-profit Society-Run,Springer Nature,Behavior Genetics Association,Society/Association,Germany / UK,Hybrid,2282,,Yes,No,No,0.796,"Q1 (Ecology, Evolution, Behavior and Systematics)",110,No,1573-3297,0001-8244,0001-8244
